MBC.TO	Agricultural Chemicals
TNH	Agricultural Chemicals
X6S.MU	Agricultural Chemicals
CGA	Agricultural Chemicals
JLWT	Air Delivery & Freight Services
EXPD	Air Delivery & Freight Services
JB1.MU	Air Delivery & Freight Services
UTW1.BE	Air Delivery & Freight Services
EW1.MU	Air Delivery & Freight Services
SINO	Air Delivery & Freight Services
AIRT	Air Delivery & Freight Services
FWRD	Air Delivery & Freight Services
GPW.V	Air Delivery & Freight Services
GND.PA	Air Delivery & Freight Services
NS8U.SI	Air Delivery & Freight Services
RRTS	Air Delivery & Freight Services
WNL.F	Air Delivery & Freight Services
NRINTER.BO	Air Delivery & Freight Services
CGOA.SG	Air Delivery & Freight Services
CNR	Air Delivery & Freight Services
TOL.AX	Air Delivery & Freight Services
XUN.SG	Air Delivery & Freight Services
P01.SI	Air Delivery & Freight Services
PVI.V	Air Delivery & Freight Services
XJL.F	Air Delivery & Freight Services
FRE.NZ	Air Delivery & Freight Services
K11.SI	Air Delivery & Freight Services
DPW.DE	Air Delivery & Freight Services
KPL.F	Air Delivery & Freight Services
KSC.AX	Air Delivery & Freight Services
MLNK	Air Delivery & Freight Services
MFT.NZ	Air Delivery & Freight Services
JB1.BE	Air Delivery & Freight Services
QUB.AX	Air Delivery & Freight Services
UPS	Air Delivery & Freight Services
JB1.F	Air Delivery & Freight Services
RLGT	Air Delivery & Freight Services
XPO	Air Delivery & Freight Services
HUBG	Air Delivery & Freight Services
ATSG	Air Delivery & Freight Services
CHRW	Air Delivery & Freight Services
UTIW	Air Delivery & Freight Services
XUN.F	Air Delivery & Freight Services
WGI.V	Air Delivery & Freight Services
RMG.L	Air Delivery & Freight Services
CONCOR.NS	Air Delivery & Freight Services
FDX	Air Delivery & Freight Services
0494.HK	Air Delivery & Freight Services
XUN.MU	Air Delivery & Freight Services
0885.HK	Air Delivery & Freight Services
MIC	Air Services, Other
KLH.F	Air Services, Other
JAGSONAI.BO	Air Services, Other
FLW.DU	Air Services, Other
W7L.SG	Air Services, Other
W1J.SG	Air Services, Other
ASR	Air Services, Other
UZA.BE	Air Services, Other
BBA.L	Air Services, Other
UZA.F	Air Services, Other
CJT.TO	Air Services, Other
SKAS	Air Services, Other
OMAB.MX	Air Services, Other
TX3.BE	Air Services, Other
W7L.F	Air Services, Other
MLAAE.PA	Air Services, Other
UZA.SG	Air Services, Other
AAWW	Air Services, Other
PAC	Air Services, Other
PHII	Air Services, Other
FLW.F	Air Services, Other
AER	Air Services, Other
PJT.V	Air Services, Other
KFA.NS	Air Services, Other
AIRM	Air Services, Other
AIR.NZ	Air Services, Other
ACH	Aluminum
ORT.TO	Aluminum
WMC.MU	Aluminum
WMC.SG	Aluminum
KLU1.SG	Aluminum
K3HD.SI	Aluminum
0CZ.F	Aluminum
NOH1.DE	Aluminum
R6L.SG	Aluminum
4H6.BE	Aluminum
NOR	Aluminum
5EN.SI	Aluminum
ACHN.MX	Aluminum
1333.HK	Aluminum
0486.HK	Aluminum
